Name,Specialty,Condition
Dr. Farhana Islam,Cardiologist,heart disease
Dr. Jahangir Hossain,Neurologist,headache
Dr. Shabnam Jahan,Endocrinologist,diabetes
Dr. Asif Rahman,General Physician,fever
Dr. Tasnim Ahmed,Pulmonologist,asthma
Dr. Rifat Chowdhury,Pediatrician,child health
Dr. Munira Sultana,Orthopedic,joint pain
Dr. Tareq Mahmud,Dermatologist,skin problems
Dr. Ahsan Ali,ENT Specialist,ear infection
Dr. Sharmeen Ahmed,Gastroenterologist,digestive issues
Dr. Firoz Alam,Ophthalmologist,eye problems
Dr. Sabera Khatun,Gynecologist,pregnancy
Dr. Hasibul Hasan,Oncologist,cancer
Dr. Arefin Khan,Nephrologist,kidney disease
Dr. Samin Zaman,Urologist,urinary problems
Dr. Tamanna Haque,Hematologist,blood disorders
Dr. Nabila Ferdous,Psychiatrist,mental health
Dr. Mahbub Alam,Allergist,allergies
Dr. Sultana Nasrin,Rheumatologist,arthritis
Dr. Mahinur Rahman,Infectious Disease Specialist,infections
Dr. Iftekhar Hossain,Immunologist,immune disorders
Dr. Sarwar Kabir,Pathologist,lab testing
Dr. Romana Islam,Occupational Therapist,rehabilitation
Dr. Reazul Karim,Anesthesiologist,anesthesia
Dr. Labiba Morshed,Nutritionist,diet planning
